band,score,REJECTION REASON,name,city,domain,website,confidence,raw_before_caps,caps_applied,GOLD_pre2024_pts,pre2024_evidence,TierA_pts,TierA_what,TierB_pts,TierC_pts,pages_reached,pages_missing,repo,merged_PRs,PR_authors,repo_since,founder,founder_title,founder_linkedin,founder_confidence,scoring_evidence,why
Priority,100,,10 Decoders Consultancy Services Private Limited,Chennai,10decoders.com,https://10decoders.com/,Verified,165,,25,Verified - own GitHub org merged PRs from Apr 2023,60,own repo w/ merged PRs,60,20,"/, careers, blog, about, team, tech-stack",,10decoders,23,2,2023-04-28,Venkatachalam,Founder & CEO,https://www.linkedin.com/in/venkatachalam-d,high,"own_vcs_orgs: 10decoders org, 23 merged PRs, 2 human authors | Site: 'Works alongside Git, Jira, Jenkins, GitHub Actions' | Compliance page: ISO 27001, ISO 9001, HIPAA-aligned controls | Blog: quality-engineering and data-pipeline posts, three-layer test model",Verified own GitHub org with merged PRs plus certified pipeline-led QA delivery makes this the strongest contact in the batch.
Priority,100,,Opcito Technologies Private Limited,Pune,opcito.com,https://www.opcito.com/,Verified,115,total capped at 100,25,"Verified: 2023 Wayback shows DevOps/full-stack engineering, case studies",20,engineering blog,50,20,"/, careers, blog, about, team",tech-stack,,,,,,,,low,"External engineering blog medium.com/@OpcitoTechnologies plus own /blog | Site: 'code review techniques and version control' in DevOps practice copy | Site: Kubernetes, containers, CI/CD and cloud-native named as core | Careers: Technical Architect, Senior DevOps Engineer, QA Automation roles","A dedicated DevOps and product-engineering firm with a public engineering blog, named CI/CD tooling, code-review language and pre-2024 delivery history."
Priority,100,,TO THE NEW Private Limited,Noida,tothenew.com,https://www.tothenew.com/,Verified,115,total capped at 100,25,Verified - 2022 snapshot titled Product Engineering and Digital Transformation Services,20,engineering blog,50,20,"/, careers, blog, about, team, tech-stack",,,,,,Narinder Kumar,Chief Executive Officer,https://www.linkedin.com/in/narinderkumar,high,"Blog: 'Kubernetes Cluster Backup & Restore on S3 using Velero' | Whitepaper: 'Bitbucket to GitHub Migration Guide' | Site: 'end-to-end product development with CI/CD pipelines, quality engineering' | Careers: Senior Technical Architect - JVM, Boomi Technical Architect","Deep engineering blog, explicit CI/CD and architect-level hiring on a verified pre-2024 product-engineering firm."
Priority,95,,Caprus IT Private Limited,Hyderabad,caprusit.com,https://www.caprusit.com/,Inferred,95,,25,Verified - 2022 snapshot advertises Custom Application Development,0,,60,10,"/, careers, about, team","blog, tech-stack",,,,,Omkar Tadepalli,MD & CEO,,medium,"JD: 'Participate in code reviews, provide and receive constructive feedback' | JD names Git, Jenkins, Copado, Gearset, CI/CD, automated deployments | Testimonial: independent QA team certifies products 'production ready' | About: ISO 9001:2015 certified; 2022 snapshot lists custom app development","Explicit code-review and CI/CD language in real job descriptions, a substantive QA practice and pre-2024 dev history make it a strong contact despite no public repo."
Priority,85,,SplendorNet Technologies Private Limited,Pune,splendornet.com,https://splendornet.com/,Inferred,85,,25,Verified - 2023 snapshot shows case studies and leadership/history pages,0,,50,10,"/, careers, blog, about, team, tech-stack",,,,,,Pratap Shrotriya,CEO and Founder Member,,high,"Site: 'agile methodology, code reviews, automated testing, best practices' | Process: 'DevOps & Continuous Delivery - Automated CI/CD pipelines' | Process: 'Quality Engineering - functional, performance, security testing' | Tech-stack page: AWS, Google Cloud, CI/CD, Django, React, Node","Seventeen-year product-engineering shop stating code review, CI/CD and QA across a full, verified page set."
Priority,83,,Intimetec Visionsoft Pvt Ltd,Jaipur,intimetec.com,https://www.intimetec.com/,Verified,83,"managed-services cap-20 considered, not applied (software dev is core)",25,"Verified: 2023 capture lists DevOps, QA, test automation, app development",20,engineering blog,25,13,"/, careers, about, team","blog, tech-stack",,,,,Jeet Kumar,CEO | President | Founder,https://www.linkedin.com/in/jeet-kumar-intimetec,high,2023 Wayback: 'DevOps... Quality Assurance... Test Automation' | Long-form engineering blog on Kubernetes orchestration | 'QA/TA Quality Assurance & Test Automation' named practice | Owns products division; public-sector and cybersecurity work,"Corrected GOLD evidence confirms a decade-plus of DevOps and test-automation delivery, and that now sits on top of a real technical blog, a dedicated QA/TA practice and owned products."
Priority,80,,MCO MyCompliance India Private Limited,Hyderabad,mco.mycomplianceoffice.com,https://mco.mycomplianceoffice.com/,Inferred,80,,25,Verified: pre-2022 Wayback shows shipped compliance platform,0,,35,20,"/, careers, blog, about, team",tech-stack,,,,,Brian Fahey,Founder and CEO,https://www.linkedin.com/in/brianfaheyterranua,high,"Careers JD: 'use of version control systems' plus CI/CD integration role | Careers: QA Lead Automation with WebdriverIO, Selenium, TypeScript | About page: platform expanded 2013-2021, flagship ECOI product suite | Careers: CISO works with product engineering and cloud operations",Genuine SaaS product company hiring real QA-automation and performance-engineering staff with version control and CI/CD in the JDs.
Priority,80,,MTAP Technologies Pvt Ltd,Chennai,mtap.in,https://www.mtap.in/,Inferred,80,,10,"site live since 2014, 2023 capture had no software wording - weak +10",0,,50,20,"/, careers, about","blog, team, tech-stack",,,,,Srinivas Chitturi,CEO & Co-Founder,,medium,"JD: 'Code review of team members' commits as part of CI/CD cycle' | CI/CD pipelines named: Jenkins, GitLab CI, CircleCI | QA automation: Selenium, Playwright, Appium; QA early in lifecycle | Owns transport platforms serving Fortune 500 and aviation enterprises","The careers page carries real engineering JDs with code review, named CI/CD tooling, git workflows and test automation on an owned platform, so the SEO/marketing hits are internal marketing roles rather than a bundled-agency offering."
Priority,80,,Skyach Software Solutions Pvt Ltd,Mohali,skyach.com,https://skyach.com/,Inferred,80,,25,Verified - 2023 snapshot advertises crypto exchange software development,0,,40,15,"/, careers, blog, about, tech-stack",team,,,,,,,,low,"2023 Wayback: cryptocurrency exchange software development company | Careers JD: DevOps/Platform Engineer, Kubernetes, CI/CD, MLOps | Stack page: Terraform, Docker, GitHub Actions, Datadog, Kubernetes | Site: CI/CD, infrastructure-as-code, observability, MLOps automation","Verified pre-2024 build history plus concrete CI/CD, IaC and platform-engineering hiring makes this worth contacting."
Priority,80,,Zediant Technologies Private Limited,Kolkata,zediant.com,https://www.zediant.com/,Inferred,80,,25,2020 snapshot titled 'Software Development Engineers | Zediant Technologies',0,,35,20,"/, blog, about, team","careers, tech-stack",,,,,Rajeev Jaiswal,"Delivery Head, Founder",,medium,"Process page: 'every PR meets enterprise standards before a human reviewer' | DevOps section: automated CI/CD pipelines, low-risk releases | SOC 2 Type II claimed; secure SDLC embedded at every stage | Continuous QA, automated plus manual testing; pods include QA, tech lead","Explicit PR review, CI/CD, secure SDLC and SOC 2 claims on top of verified pre-2024 software work make this a contact-worthy engineering shop, despite heavy AI-augmentation marketing."
