band,score,confidence,name,city,domain,website,headcount,founder_or_ceo,title,linkedin,founder_confidence,pre2024_status,tier_gold_pts,tier_a_pts,tier_b_pts,tier_c_pts,caps_applied,own_vcs_org,merged_prs,human_authors,first_merge,pages_reached,why,evidence,founder_evidence
Priority,100,Verified,10 Decoders Consultancy Services Private Limited,Chennai,10decoders.com,https://10decoders.com/,1,Venkatachalam,Founder & CEO,https://www.linkedin.com/in/venkatachalam-d,high,Verified - own GitHub org merged PRs from Apr 2023,25,60,60,20,,10decoders,23,2,2023-04-28,"/, careers, blog, about, team, tech-stack",Verified own GitHub org with merged PRs plus certified pipeline-led QA delivery makes this the strongest contact in the batch.,"own_vcs_orgs: 10decoders org, 23 merged PRs, 2 human authors | Site: 'Works alongside Git, Jira, Jenkins, GitHub Actions' | Compliance page: ISO 27001, ISO 9001, HIPAA-aligned controls | Blog: quality-engineering and data-pipeline posts, three-layer test model","""Venkatachalam Founder & CEO""; ""10decoders was founded by Venkatachalam (CEO)"""
Priority,100,Verified,Opcito Technologies Private Limited,Pune,opcito.com,https://www.opcito.com/,,,,,low,"Verified: 2023 Wayback shows DevOps/full-stack engineering, case studies",25,20,50,20,total capped at 100,,,,,"/, careers, blog, about, team","A dedicated DevOps and product-engineering firm with a public engineering blog, named CI/CD tooling, code-review language and pre-2024 delivery history.","External engineering blog medium.com/@OpcitoTechnologies plus own /blog | Site: 'code review techniques and version control' in DevOps practice copy | Site: Kubernetes, containers, CI/CD and cloud-native named as core | Careers: Technical Architect, Senior DevOps Engineer, QA Automation roles","Who-we-are page names only ""Our Inspiration - CJ Chaitanya Jawale"", no title"
Priority,100,Verified,TO THE NEW Private Limited,Noida,tothenew.com,https://www.tothenew.com/,,Narinder Kumar,Chief Executive Officer,https://www.linkedin.com/in/narinderkumar,high,Verified - 2022 snapshot titled Product Engineering and Digital Transformation Services,25,20,50,20,total capped at 100,,,,,"/, careers, blog, about, team, tech-stack","Deep engineering blog, explicit CI/CD and architect-level hiring on a verified pre-2024 product-engineering firm.","Blog: 'Kubernetes Cluster Backup & Restore on S3 using Velero' | Whitepaper: 'Bitbucket to GitHub Migration Guide' | Site: 'end-to-end product development with CI/CD pipelines, quality engineering' | Careers: Senior Technical Architect - JVM, Boomi Technical Architect","""Narinder Kumar Chief Executive Officer"" on leadership page beside his LinkedIn"
Priority,95,Inferred,Caprus IT Private Limited,Hyderabad,caprusit.com,https://www.caprusit.com/,,Omkar Tadepalli,MD & CEO,,medium,Verified - 2022 snapshot advertises Custom Application Development,25,0,60,10,,,,,,"/, careers, about, team","Explicit code-review and CI/CD language in real job descriptions, a substantive QA practice and pre-2024 dev history make it a strong contact despite no public repo.","JD: 'Participate in code reviews, provide and receive constructive feedback' | JD names Git, Jenkins, Copado, Gearset, CI/CD, automated deployments | Testimonial: independent QA team certifies products 'production ready' | About: ISO 9001:2015 certified; 2022 snapshot lists custom app development","""Omkar Tadepalli – MD & CEO Founded Caprus IT in March 2007"""
Priority,85,Inferred,SplendorNet Technologies Private Limited,Pune,splendornet.com,https://splendornet.com/,,Pratap Shrotriya,CEO and Founder Member,,high,Verified - 2023 snapshot shows case studies and leadership/history pages,25,0,50,10,,,,,,"/, careers, blog, about, team, tech-stack","Seventeen-year product-engineering shop stating code review, CI/CD and QA across a full, verified page set.","Site: 'agile methodology, code reviews, automated testing, best practices' | Process: 'DevOps & Continuous Delivery - Automated CI/CD pipelines' | Process: 'Quality Engineering - functional, performance, security testing' | Tech-stack page: AWS, Google Cloud, CI/CD, Django, React, Node","""Pratap Shrotriya CEO and Founder Member... founder, director, and CEO of SplendorNet"""
Priority,83,Verified,Intimetec Visionsoft Pvt Ltd,Jaipur,intimetec.com,https://www.intimetec.com/,,Jeet Kumar,CEO | President | Founder,https://www.linkedin.com/in/jeet-kumar-intimetec,high,"Verified: 2023 capture lists DevOps, QA, test automation, app development",25,20,25,13,"managed-services cap-20 considered, not applied (software dev is core)",,,,,"/, careers, about, team","Corrected GOLD evidence confirms a decade-plus of DevOps and test-automation delivery, and that now sits on top of a real technical blog, a dedicated QA/TA practice and owned products.",2023 Wayback: 'DevOps... Quality Assurance... Test Automation' | Long-form engineering blog on Kubernetes orchestration | 'QA/TA Quality Assurance & Test Automation' named practice | Owns products division; public-sector and cybersecurity work,"Our Founders: ""Jeet Kumar CEO | President | Founder""; LinkedIn slug names company"
Priority,80,Inferred,MCO MyCompliance India Private Limited,Hyderabad,mco.mycomplianceoffice.com,https://mco.mycomplianceoffice.com/,,Brian Fahey,Founder and CEO,https://www.linkedin.com/in/brianfaheyterranua,high,Verified: pre-2022 Wayback shows shipped compliance platform,25,0,35,20,,,,,,"/, careers, blog, about, team",Genuine SaaS product company hiring real QA-automation and performance-engineering staff with version control and CI/CD in the JDs.,"Careers JD: 'use of version control systems' plus CI/CD integration role | Careers: QA Lead Automation with WebdriverIO, Selenium, TypeScript | About page: platform expanded 2013-2021, flagship ECOI product suite | Careers: CISO works with product engineering and cloud operations","""privately held company led by Founder and CEO Brian Fahey""; link labelled Brian Fahey CEO"
Priority,80,Inferred,MTAP Technologies Pvt Ltd,Chennai,mtap.in,https://www.mtap.in/,,Srinivas Chitturi,CEO & Co-Founder,,medium,"site live since 2014, 2023 capture had no software wording - weak +10",10,0,50,20,,,,,,"/, careers, about","The careers page carries real engineering JDs with code review, named CI/CD tooling, git workflows and test automation on an owned platform, so the SEO/marketing hits are internal marketing roles rather than a bundled-agency offering.","JD: 'Code review of team members' commits as part of CI/CD cycle' | CI/CD pipelines named: Jenkins, GitLab CI, CircleCI | QA automation: Selenium, Playwright, Appium; QA early in lifecycle | Owns transport platforms serving Fortune 500 and aviation enterprises","""Srinivas Chitturi CEO & Co-Founder Chief Tinkerer, responsible for building MTAP tech stack"""
Priority,80,Inferred,Skyach Software Solutions Pvt Ltd,Mohali,skyach.com,https://skyach.com/,,,,,low,Verified - 2023 snapshot advertises crypto exchange software development,25,0,40,15,,,,,,"/, careers, blog, about, tech-stack","Verified pre-2024 build history plus concrete CI/CD, IaC and platform-engineering hiring makes this worth contacting.","2023 Wayback: cryptocurrency exchange software development company | Careers JD: DevOps/Platform Engineer, Kubernetes, CI/CD, MLOps | Stack page: Terraform, Docker, GitHub Actions, Datadog, Kubernetes | Site: CI/CD, infrastructure-as-code, observability, MLOps automation","About page is positioning copy (""AI-native product engineering""); no names"
Priority,80,Inferred,Zediant Technologies Private Limited,Kolkata,zediant.com,https://www.zediant.com/,,Rajeev Jaiswal,"Delivery Head, Founder",,medium,2020 snapshot titled 'Software Development Engineers | Zediant Technologies',25,0,35,20,,,,,,"/, blog, about, team","Explicit PR review, CI/CD, secure SDLC and SOC 2 claims on top of verified pre-2024 software work make this a contact-worthy engineering shop, despite heavy AI-augmentation marketing.","Process page: 'every PR meets enterprise standards before a human reviewer' | DevOps section: automated CI/CD pipelines, low-risk releases | SOC 2 Type II claimed; secure SDLC embedded at every stage | Continuous QA, automated plus manual testing; pods include QA, tech lead","Management Team: ""Rajeev Jaiswal Delivery Head, Founder 20+ years of experience"""
Priority,80,Inferred,Rishabh Software Pvt Ltd,Vadodara,rishabhsoft.com,https://www.rishabhsoft.com/,,Raju Shah,,https://www.linkedin.com/in/raju-shah-8560296,low,Verified: 2023 capture titled custom software development company; site since 2001,25,0,35,20,"Tier C capped at 20; generalist-agency cap considered, not applied (SEO is in-house marketing); BPO cap-20 considered, not applied (group interest, not core)",,,,,"/, careers, blog, about, team, tech-stack","Twenty-five years of verified custom software delivery combined with genuine ISO certification, substantive data-platform engineering and a named senior engineering ladder.","2023 Wayback: 'Custom Software Development Company | Rishabh' | ISO 9001 and ISO 27001 compliance maintained internally | ETL pipelines, data lakes, Unity Catalog governance on AWS/Azure | Named Tech Leads and AVP Technology & Product Engineering","Leadership section: ""Shah's leadership philosophy""; first leadership LinkedIn is raju-shah"
Priority,78,Verified,Xebia IT Architects India Private Limited,Gurugram,xebia.com,https://www.xebia.com,,,,,low,Verified: github.com/xebia earliest merge 2011-12-07,25,40,0,13,cap-40 lifted: team page recovered,xebia,615,8,2011-12-07,"/, about","A verified company GitHub org with 615 merged PRs from multiple human authors dating to 2011 is near-proof of a reviewed PR workflow, and the team-page recovery removes the cap that was suppressing it.","github.com/xebia: 615 merged PRs, 8 human authors | Earliest merge 2011-12-07, still active August 2026 | 2022 Wayback: designs digital products and IT infrastructures | AI solutions and accelerators as owned long-lived assets",Contact page navigation text only; no people named
Priority,70,Inferred,Veryx Technologies Private Limited,Chennai,veryxtech.com,https://www.veryxtech.com/,,,,,low,"2022 snapshot already lists software development, test automation, DevOps",25,0,25,20,,,,,,"/, careers, blog, about, team","Owns real network-test products with named IaC tooling and a genuine shift-left QA practice, making it a contact-worthy engineering shop.","Services: automated CI/CD pipelines across GCP, AWS, Azure | Infrastructure page names Kubernetes, Docker, eBPF, Kafka, Terraform | 'Quality engineered into every stage, not treated as a checkpoint' | Own products ATTEST and Cloudmon; hiring Senior QA Engineer","""Our Leadership Team"" heading scraped but no member names captured"
