rank,name,website,domain,lead_score,qualification_reason
1,DataSoft,http://datasoft-bd.com/,datasoft-bd.com,10,"CMMI Level 5 / ISO-certified software company (since 1998) delivering large-scale port automation, fintech, telemedicine and next-gen IoT/AR-VR system"
2,KAZ Software Limited,http://kaz.com.bd/,kaz.com.bd,10,"20+ year software-engineering firm doing .NET/Java/PHP/Node/Python development, QA, cloud (AWS/Azure) and staff augmentation."
3,Nascenia,https://www.nascenia.com/,nascenia.com,10,"Bespoke engineering shop building on Ruby on Rails, React, Node, Flutter with dedicated SQA and production-grade custom AI systems since 2010."
4,Vivasoft Limited,https://www.vivasoftltd.com/,vivasoftltd.com,10,Custom software company deploying agile product teams and hiring JS/Python/.NET/Go/Java developers for end-to-end and MVP development.
5,Andgate Technologies,https://andgatetech.net/,andgatetech.net,9,"Product engineering company building SaaS platforms, enterprise web apps, AI, IoT and cloud infrastructure with multi-tenant architecture and cloud-na"
6,ARITS Limited,https://arits.tech/,arits.tech,9,"Custom software, web and mobile development with explicit DevOps/platform engineering (Kubernetes, CI/CD, observability), QA, staff augmentation and A"
7,Bangladesh Software Solution,https://bssoln.com/,bssoln.com,9,"Custom software and AI/ML development with dedicated teams, staff augmentation, offshore delivery, DevOps & cloud and QA/testing."
8,BJIT Group,https://www.bjitgroup.com/,bjitgroup.com,9,"Award-winning global software development JV with 750+ engineers across 8 countries offering outsourcing, remote development and IT consulting for For"
9,Cookietech LTD.,https://www.cookietechltd.com/,cookietechltd.com,9,"Product-engineering and AI development studio building full-stack custom web apps, cross-platform mobile and 100+ shipped AI products."
10,Craftsmen,https://www.craftsmenltd.com/,craftsmenltd.com,9,AI-native engineering partner with 15+ years of highly skilled engineers building high-impact software products for European and US companies.
11,D-SAi,https://www.d-sai.com/,d-sai.com,9,"AI-first software development, data science and business automation firm building RAG/LLMOps and AI-driven systems with secure, scalable software deli"
12,Datazo InfoTech,https://www.datazoinfotech.com.bd/,datazoinfotech.com.bd,9,"Full custom software house offering web/mobile app development, API development, DevOps, and digital transformation with a dedicated engineering team."
13,Devxhub Limited,https://devxhub.com/,devxhub.com,9,Provides vetted senior engineering teams building AI-integrated custom software and AI agents via a staff-augmentation model.
14,Dynamic Solution Innovators Ltd. (DSi),https://www.dsinnovators.com/,dsinnovators.com,9,25-year engineering firm providing dedicated AI/enterprise/mobile/DevOps/QA/cloud engineers and end-to-end product development.
15,Enosis Solutions,https://www.enosisbd.com/,enosisbd.com,9,"Established software development and QA/testing firm with strong engineering teams building web, desktop and mobile applications for clients."
16,Impala Intech Limited,https://impalaintech.com/,impalaintech.com,9,"Custom software firm offering SaaS, web/mobile app development, dedicated teams, cloud & DevOps, agile development and ERP/CRM engineering."
17,ImplevistaBD,https://implevista.com/,implevista.com,9,"Offers SAP services, cloud engineering, IoT and dedicated full-stack teams (React/Node/.NET/Python) with QA, DevOps and Scrum roles."
18,iXora Solution Ltd.,https://ixorasolution.com/,ixorasolution.com,9,"Full-cycle offshore custom software developer (12+ years, US/EU/Japan clients) with dedicated agile teams, Odoo ERP and AI/blockchain/IoT engineering."
19,MicroXen Technology,https://microxen.com/,microxen.com,9,"Delaware-registered software firm building enterprise web platforms, compliance-ready fintech SaaS and payment infrastructure on React/Next/Laravel/No"
20,Nagorik Technologies,https://www.nagorik.tech/,nagorik.tech,9,"Leading software company deploying 200+ in-house engineers for enterprise custom software, AI/LLM, blockchain, cloud and cybersecurity plus MVP and te"
21,Ontik Technology,https://www.ontiktechnology.com/,ontiktechnology.com,9,"Custom software and SaaS development with staff augmentation, API integration, cloud & DevOps and QA across 220+ shipped products."
22,OrFactor,https://orfactor.com/,orfactor.com,9,"Enterprise software engineering 'lab' (since 2014, US/UK/EU clients) building scalable, secure web and mobile platforms from MVPs to complex systems."
23,Qtec Solution Limited,https://qtecsolution.com/,qtecsolution.com,9,"Fully-managed software development and staff augmentation covering custom software, AI/ML, DevOps, ERP, SaaS and legacy modernization across 100+ tech"
24,Riseup Labs,http://www.riseuplabs.com/,riseuplabs.com,9,"ISO-certified firm delivering custom AI/automation, generative and agentic AI, NLP and computer-vision engineering services."
25,Shobyoshachi,https://www.shobyoshachi.com/,shobyoshachi.com,9,"Software-engineering collective building custom software, ERP and applied ML/AI across full-stack web, mobile and backend infrastructure to production"
26,SofGent,https://sofgent.com/,sofgent.com,9,"AI product studio shipping production AI (document automation, AI SaaS MVPs) with a modern stack (Next.js, Claude/OpenAI, PostgreSQL) and acceptance t"
27,Solyntra,https://solyntra.com/,solyntra.com,9,Senior-led B2B software engineering firm embedding senior engineers/pods to build custom software and AI-enabled systems for CTOs.
28,Southtech,https://www.southtechgroup.com/,southtechgroup.com,9,"Established (1996) enterprise software company building microfinance, loan-origination, insurance, VAT and HR software with a development consultancy "
29,Synesis IT PLC,https://synesisit.com.bd/,synesisit.com.bd,9,"CMMI Level 3 / ISO-certified enterprise software provider (e-governance, AI, cloud, IoT, data analytics) with 550+ engineers over 18+ years."
30,Technext,https://technext.it/,technext.it,9,"Development partner building custom web/mobile apps and AI products with world-class developers behind real products (MailBluster, Gradnet, ThemeWagon"
31,3DEVS IT LTD,https://3-devs.com/,3-devs.com,8,"Custom software, web application, mobile app and AI-powered solution builder positioning as a scalable engineering partner since 2013."
32,Acme AI Ltd.,https://www.acmeai.tech/,acmeai.tech,8,"AI/technology company doing custom AI/LLM solution development, computer vision, speech recognition, data engineering and annotation for global AI fir"
