name,city,website,domain,lead_score,qualification_reason
SPD Technology,,https://spd.tech/?utm_source=Goodfirms&utm_medium=referral,spd.tech,9,"Global custom software development and product-engineering company (650+ experts) doing app modernization, fintech, AI/ML and data platforms."
Linnify,,https://linnify.com/,linnify.com,9,"Award-winning technology partner offering fullstack software development, cloud, data & AI, product strategy and team augmentation."
ASSIST Software,,https://assist-software.net/,assist-software.net,9,Major Eastern-European IT company (Microsoft Gold/AWS/GCP partner) delivering AI and custom software engineering with AI/ML and data engineering.
mindit.io,,https://www.mindit.io/,mindit.io,9,Swiss-based custom software engineering company (250+ engineers) building AI-powered data systems and cloud-native architectures for enterprise DACH/US clients.
rinf.tech,,https://www.rinf.tech/,rinf.tech,9,"Engineering firm doing embedded/IoT firmware, digital twins, cloud, enterprise AI and quality engineering (50+ business and 300+ automotive software projects)."
Zitec,,https://zitec.com/,zitec.com,9,"Established (2003) digital-transformation firm doing software development, DevOps & security, cloud/platform, AI engineering and data/ML."
AROBS,,https://www.arobs.com/,arobs.com,9,"Top Romanian software company (since 1998) doing custom software, embedded/automotive/aerospace/medical, cybersecurity, IoT, big data, QA and IT outsourcing."
Tremend Software Consulting,,https://www.tremend.com/about-tremend,tremend.com,9,"Global software engineering hub for Publicis Sapient (17+ years) doing custom software, mobile, QA, embedded, AI/ML, semiconductor, cloud & DevOps and IoT."
SOFTECH,,https://softech.ro/,softech.ro,9,"Software development and outsourcing company (since 1998) doing mobile/desktop/cloud/IoT/AI apps with explicit DevOps (CI/CD, automated testing, IaC)."
RebelDot,,https://rebeldot.com/,rebeldot.com,9,"Top web & mobile development company for Fortune 500 clients (Visa, GEA) doing AI-native product engineering, AI & data solutions and cloud/agentic infrastructu"
Digitalya,,https://digitalya.co/,digitalya.co,8,"Builds compliant pharma/healthcare digital platforms (HCP portals, patient platforms, AI) with system architecture and ISO/HIPAA/GDPR certifications."
Nerds Computing,,https://nerds.sh/,nerds.sh,8,"Software engineering services firm building solid architectures and scalable platforms (web/mobile, backend, APIs, cloud, DevOps) for SMEs and tech companies."
UPDIVISION,,https://www.updivision.com/,updivision.com,8,"Custom software developer building ERP/CRM, AI agents, SaaS and mobile apps with cybersecurity and UI/UX across industries."
Berg Software,,https://www.berg-software.com/en,berg-software.com,8,"Custom software development and outsourcing firm building enterprise web applications across biomedical, retail automation and manufacturing with cloud and cybe"
Ketek,,https://www.ketek.ro/,ketek.ro,8,"Romanian software development outsourcing company (since 2006) handling end-to-end custom development, DevOps and IT integration."
Bento,,https://www.bento.ro/en/home/,bento.ro,8,"Established (21+ years) Romanian tech company doing custom software, IT services, cloud infrastructure and its own field-service/LIMS/smart-metering products."
InnovatorSpark SRL,,https://innovatorspark.com/,innovatorspark.com,8,"Custom software development and IT staff augmentation with Odoo ERP, frontend/backend/mobile, cloud & DevOps and its own products."
Webamboos,,https://webamboos.com/,webamboos.com,8,"Custom software development partner with a 30+ engineer team building dependable, scalable digital products since 2016."
MCRO,,https://mcro.tech/,mcro.tech,8,Custom software development firm building scalable web and mobile applications with cloud infrastructure and product strategy.
Tech Stack Apps,,https://techstackapps.com/,techstackapps.com,8,"Custom software (digital health) developer offering web/mobile app development, agile teams, custom AI agents and HIPAA-compliant cloud."
QTeam Software Solutions,,https://qteam.solutions/,qteam.solutions,8,"Custom software company doing web product engineering/re-engineering, IoT, mobile development, DevOps and software maintenance since 2016."
Roweb Development,,https://www.roweb.ro/,roweb.ro,8,Unreachable at fetch time; blurb describes a 15+ year Romanian software developer (Angular/Node/React/C#/.NET/PHP/Java) doing end-to-end product development.
Wolfpack Digital,,https://www.wolfpack-digital.com/?utm_source=goodfirms,wolfpack-digital.com,8,"Award-winning web and mobile development company combining design, product strategy and engineering to build scalable applications."
Deventure,,http://www.deventure.co/,deventure.co,8,"Full-stack custom software development company building web/mobile apps, enterprise software and cloud/BI with UI/UX and QA under one roof."
ABIT Technologies,,https://abittechnologies.com/,abittechnologies.com,8,"Romanian software developer offering end-to-end custom development, staff augmentation, build-operate-transfer, cloud web/mobile apps and AI services."
inteliScience,,https://inteliscience.net/,inteliscience.net,8,Custom software and AI-driven solutions with deep Siemens NX/NXOpen and Teamcenter engineering-automation development and nearshore teams.
Moldoweb,,https://moldoweb.com/,moldoweb.com,8,"Software development and outsourcing company doing enterprise/custom application development, dedicated teams and staff augmentation (Angular/Node/.NET)."
appssemble,,https://appssemble.com/,appssemble.com,8,"Production AI engineering firm building AI agents, voice AI, RAG and automation inside real mobile/web products with APIs and DevOps."
Arnia Software,,http://www.arnia.com/,arnia.com,8,"Global software development company offering bespoke application development, IT outsourcing, nearshore dedicated teams, banking software and QA."
Andrea Software,,https://andreasoft.ro/,andreasoft.ro,8,European software and hardware development company delivering embedded systems and smart-metering/smart-grid solutions with prototyping and certifications.
NEXT ID SOFTWARE SRL,,https://nextid.ro/,nextid.ro,8,End-to-end software engineering firm with senior engineers (20+ years) building critical web/mobile/desktop applications with integration and cloud.
PRISMA Software,,https://www.prisma-software.ch/,prisma-software.ch,8,"Engineers safety-critical, compliant software for connected vehicles, smart energy, medtech and secure finance where reliability is non-negotiable."
BruteCX,,https://brutecx.com/,brutecx.com,8,"Independent software engineering practice building custom web applications, business systems, SaaS products and the APIs/integrations behind them."
UP2DATE,,https://www.up2date.ro/,up2date.ro,8,"15+ year Romanian software developer building custom software, mobile apps, web platforms and AI-integrated solutions with senior nearshore engineers (ISO 27001"
Thinslices,,http://www.thinslices.com/,thinslices.com,8,"Product development company doing idea-to-MVP, web/mobile and AI development plus team-as-a-service, product design and R&D."
Floating Dots,,https://floatingdots.co/,floatingdots.co,8,"Product software development company building web/mobile apps, MVPs and providing team augmentation with UI/UX across edtech, fintech and healthcare (40+ apps)."
POWERTRACE SRL,,http://www.powertrace.ro/,powertrace.ro,8,"Embedded software developer specializing in embedded security/cryptography, HSM, AUTOSAR and ISO 26262 safety-critical automotive systems."
Technical Inside,,https://technicalinside.com/,technicalinside.com,8,"Software studio building AI-powered products, full-stack web/SaaS, cross-platform mobile and automation from first commit to production."
Momentum Software,,https://www.momentum-software.ro/,momentum-software.ro,8,"Custom Java EE software development and IT consulting company doing scalable architecture, performance tuning and BPM."
DevsReady,,https://devsready.io/,devsready.io,8,Custom software development firm built by senior engineers for complex real-world challenges (Romania & Europe).
MeshSoftware,,https://meshsoftware.eu/,meshsoftware.eu,8,"Software company building IoT and scalable cloud applications (logistics, intermodal, railway) on Docker/K8s/Azure/AWS/GCP/Terraform/Go/Java/C#."
Ontegra,,https://ontegra.com/,ontegra.com,8,"Delivers high-end custom software, platform modernization/migration, AI & automation and MVP development plus IT outsourcing/staff augmentation for enterprises."
Scriptstackers,,https://scriptstackers.com/,scriptstackers.com,8,Full-stack web and mobile development team (15+ years) working across Laravel/Next/React/Vue/Node/Python and AI/ML with business analysis.
Nevexo,,https://www.nevexo.tech/,nevexo.tech,8,"Software engineering studio acting as an embedded technical partner across AI/ML, web platforms, mobile (React Native/Flutter) and cloud infrastructure."
SC AEGIS CORE TECH SRL,,https://aegiscoretech.com/,aegiscoretech.com,8,"Engineering firm doing custom software, team augmentation, cybersecurity (secure SDLC, SAST/DAST), AI/LLM integration and automotive (AUTOSAR) engineering."
Benoli Tech,,https://www.benolitech.com/,benolitech.com,8,"Provides embedded software and systems-engineering services (50+ engineers) for automotive, railway, robotics, semiconductors and industrial IIoT, plus AI."
Infobest Romania,,https://infobest.ro/,infobest.ro,8,"End-to-end software development, QA & testing and support firm (.NET/Java/PHP/COBOL) with AI/ML, cloud, big data and IoT solutions across Europe."
Luminos Software,,https://luminos.software/,luminos.software,8,"Software services firm offering technology strategy, digital product design, software development, team extensions and DevOps for entrepreneurs."
Appsmart,,https://appsmart.ro/,appsmart.ro,8,"Software development company with senior developers covering the full lifecycle (business analysis, UI/UX, development, testing, deployment, support)."
VB Digital Architects,,https://vbdigitalarchitects.com/,vbdigitalarchitects.com,8,"Software architecture and development consultancy delivering enterprise-grade solutions, founded by a senior engineer/architect."
Freshbyte,,https://freshbyteinc.com/,freshbyteinc.com,8,"Technology partner providing dedicated development teams, custom software, web/mobile, IT staff augmentation, QA and cloud/DevOps from Romania."
QuartzDevs,,https://www.quartzdevs.com/,quartzdevs.com,8,"Provides dedicated senior engineering teams building multi-tenant cloud-native SaaS, full-stack web/mobile and production AI (LLM integrations)."
Tecknoworks,,https://tecknoworks.com/,tecknoworks.com,8,"Builds production AI systems, BI & data analytics, automation and next-gen software/apps with cloud and legacy modernization on Azure."
Webchain SRL,,https://www.webchain.ro/,webchain.ro,8,"Software development company doing custom and AI software, IT consulting and DevOps across Node/Python/Java/Angular/React for automotive, fintech and pharma."
